case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,rule_prediction_vitals,llm_adjustments,llm_reasoning,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 32, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 32, ""T"": 36.9}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 0, ""RR"": null, ""T"": null}","{""O2Sat"": ""Rule-based O2Sat 88% is plausible after NRB from 80% on room air in pulmonary edema without PEEP; adjustment 0 keeps final at 88% given expected moderate improvement with FiO2 0.8.""}","{""adjustments"":{""O2Sat"":0},""reasoning"":{""O2Sat"":""Rule-based O2Sat 88% is plausible after NRB from 80% on room air in pulmonary edema without PEEP; adjustment 0 keeps final at 88% given expected moderate improvement with FiO2 0.8.""}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.3333333333333333,2.483948469674844,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": false, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 115, ""O2Sat"": 83, ""RR"": 36, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 85, ""RR"": 30, ""T"": 36.9}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 5, ""O2Sat"": -2, ""RR"": 6, ""T"": null}","{""HR"": ""Rule-based HR 110 with +5 adjustment to 115 due to persistent/worsening distress and hypoxemia without intervention."", ""O2Sat"": ""Rule-based O2Sat 85 with -2 adjustment to 83 as pulmonary edema on NRB without positive pressure likely worsens oxygenation over 5 minutes."", ""RR"": ""Rule-based RR 30 with +6 adjustment to 36 because respiratory distress without treatment typically increases, not decreases, the respiratory rate.""}","{""adjustments"":{""HR"":5,""O2Sat"":-2,""RR"":6},""reasoning"":{""HR"":""Rule-based HR 110 with +5 adjustment to 115 due to persistent/worsening distress and hypoxemia without intervention."",""O2Sat"":""Rule-based O2Sat 85 with -2 adjustment to 83 as pulmonary edema on NRB without positive pressure likely worsens oxygenation over 5 minutes."",""RR"":""Rule-based RR 30 with +6 adjustment to 36 because respiratory distress without treatment typically increases, not decreases, the respiratory rate.""}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,0.8,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 78, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 81, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": -3, ""RR"": null, ""T"": null}","{""O2Sat"": ""Rule-based O2Sat 81% likely underestimates deterioration after 8 min without escalation in pulmonary edema on NRB; applying -3 yields 78% due to ongoing hypoxemia and fatigue.""}","{""adjustments"":{""O2Sat"":-3},""reasoning"":{""O2Sat"":""Rule-based O2Sat 81% likely underestimates deterioration after 8 min without escalation in pulmonary edema on NRB; applying -3 yields 78% due to ongoing hypoxemia and fatigue.""}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 89, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": -2, ""RR"": null, ""T"": null}","{""O2Sat"": ""Rule-based O2Sat 91 is a bit high; adjusting -2 to 89 since BVM at FiO2 1 without PEEP in pulmonary edema gives only modest improvement from 85 due to shunt physiology.""}","{""adjustments"":{""O2Sat"":-2},""reasoning"":{""O2Sat"":""Rule-based O2Sat 91 is a bit high; adjusting -2 to 89 since BVM at FiO2 1 without PEEP in pulmonary edema gives only modest improvement from 85 due to shunt physiology.""}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.2,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 93, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 93, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 0, ""RR"": null, ""T"": null}","{""O2Sat"": ""Rule-based O2Sat 93% after BVM with FiO2 1.0 and PEEP 5 is plausible improvement from 85% in pulmonary edema, so adjustment 0 (final 93%) as modest PEEP can raise saturation but not fully normalize.""}","{""adjustments"":{""O2Sat"":0},""reasoning"":{""O2Sat"":""Rule-based O2Sat 93% after BVM with FiO2 1.0 and PEEP 5 is plausible improvement from 85% in pulmonary edema, so adjustment 0 (final 93%) as modest PEEP can raise saturation but not fully normalize.""}}",,,gpt-5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.75,2.9427877939124323,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 85, ""BP_sys"": 130, ""HR"": 105, ""O2Sat"": 92, ""RR"": 12, ""T"": null}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 105, ""O2Sat"": 95, ""RR"": 12, ""T"": null}","{""BP_dia"": -10, ""BP_sys"": -20, ""HR"": 0, ""O2Sat"": -3, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule BP_dia 95; adjust -10 to 85 because intubation with positive pressure and sedation often lowers diastolic BP in pulmonary edema."", ""BP_sys"": ""Rule BP_sys 150; adjust -20 to 130 due to reduced sympathetic drive and preload/afterload with successful intubation/ventilation."", ""HR"": ""Rule HR 105; adjust 0 to remain 105 as tachycardia may persist despite improved oxygenation."", ""O2Sat"": ""Rule O2Sat 95; adjust -3 to 92 since severe pulmonary edema may limit immediate full correction without defined PEEP.""}","{""adjustments"":{""BP_dia"":-10,""BP_sys"":-20,""HR"":0,""O2Sat"":-3},""reasoning"":{""BP_dia"":""Rule BP_dia 95; adjust -10 to 85 because intubation with positive pressure and sedation often lowers diastolic BP in pulmonary edema."",""BP_sys"":""Rule BP_sys 150; adjust -20 to 130 due to reduced sympathetic drive and preload/afterload with successful intubation/ventilation."",""HR"":""Rule HR 105; adjust 0 to remain 105 as tachycardia may persist despite improved oxygenation."",""O2Sat"":""Rule O2Sat 95; adjust -3 to 92 since severe pulmonary edema may limit immediate full correction without defined PEEP.""}}",,,gpt-5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,3.5860842154082215,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 90, ""BP_sys"": 185, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": -10, ""BP_sys"": -25, ""HR"": 0, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based BP_dia 100 is high; apply -10 to 90 due to expected beta-blocker/negative inotrope effect reducing diastolic pressure modestly in hypertensive crisis."", ""BP_sys"": ""Rule-based BP_sys 210 is implausibly unchanged; apply -25 to 185 as negative inotropy typically lowers systolic pressure in this context."", ""HR"": ""Rule-based HR 90 after giving a negative inotrope from 110 is plausible; 0 adjustment keeps final HR 90 reflecting rate control.""}","{""adjustments"":{""BP_dia"":-10,""BP_sys"":-25,""HR"":0},""reasoning"":{""BP_dia"":""Rule-based BP_dia 100 is high; apply -10 to 90 due to expected beta-blocker/negative inotrope effect reducing diastolic pressure modestly in hypertensive crisis."",""BP_sys"":""Rule-based BP_sys 210 is implausibly unchanged; apply -25 to 185 as negative inotropy typically lowers systolic pressure in this context."",""HR"":""Rule-based HR 90 after giving a negative inotrope from 110 is plausible; 0 adjustment keeps final HR 90 reflecting rate control.""}}",,,gpt-5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,6.143289021363068,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 87, ""BP_sys"": 185, ""HR"": 120, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": -5, ""BP_sys"": -10, ""HR"": 10, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based BP_dia 92, adjust -5 to 87 because vasodilators typically reduce diastolic pressure modestly."", ""BP_sys"": ""Rule-based BP_sys 195, adjust -10 to 185 as vasodilators often lower systolic more than baseline estimate in severe hypertension."", ""HR"": ""Rule-based HR 110, adjust +10 to 120 due to reflex tachycardia from vasodilation without beta-blockade in this context.""}","{""adjustments"":{""BP_dia"":-5,""BP_sys"":-10,""HR"":10},""reasoning"":{""BP_dia"":""Rule-based BP_dia 92, adjust -5 to 87 because vasodilators typically reduce diastolic pressure modestly."", ""BP_sys"":""Rule-based BP_sys 195, adjust -10 to 185 as vasodilators often lower systolic more than baseline estimate in severe hypertension."", ""HR"":""Rule-based HR 110, adjust +10 to 120 due to reflex tachycardia from vasodilation without beta-blockade in this context.""}}",,,gpt-5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,0.9433981132056605,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": false, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based 92 with 0 adjustment remains 92, consistent with a modest diastolic decrease after a single SL nitroglycerin."", ""BP_sys"": ""Rule-based 195 with 0 adjustment remains 195, a plausible ~15 mmHg systolic drop from 210 after one SL nitroglycerin dose in this setting.""}","{""adjustments"":{""BP_dia"":0,""BP_sys"":0},""reasoning"":{""BP_dia"":""Rule-based 92 with 0 adjustment remains 92, consistent with a modest diastolic decrease after a single SL nitroglycerin."",""BP_sys"":""Rule-based 195 with 0 adjustment remains 195, a plausible ~15 mmHg systolic drop from 210 after one SL nitroglycerin dose in this setting.""}}",,,gpt-5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.2,32.08332900432872,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 95, ""BP_sys"": 200, ""HR"": 113, ""O2Sat"": 99, ""RR"": 22, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": -5, ""BP_sys"": -10, ""HR"": 3, ""O2Sat"": 0, ""RR"": 2, ""T"": null}","{""BP_dia"": ""Rule-based BP_dia 100 lowered by 5 to 95 because inappropriate heparin in suspected dissection can worsen bleeding and slightly drop diastolic pressure."", ""BP_sys"": ""Rule-based BP_sys 210 lowered by 10 to 200 due to potential bleeding-related hemodynamic decline after heparin in aortic dissection."", ""HR"": ""Rule-based HR 110 increased by 3 to 113 as a compensatory response to a small BP drop."", ""O2Sat"": ""Rule-based O2Sat 99 adjusted by 0 to remain 99 as oxygenation is not directly affected immediately by heparin."", ""RR"": ""Rule-based RR 20 increased by 2 to 22 due to mild sympathetic response to worsening hemodynamics.""}","{""adjustments"":{""BP_dia"":-5,""BP_sys"":-10,""HR"":3,""O2Sat"":0,""RR"":2},""reasoning"":{""BP_dia"":""Rule-based BP_dia 100 lowered by 5 to 95 because inappropriate heparin in suspected dissection can worsen bleeding and slightly drop diastolic pressure."",""BP_sys"":""Rule-based BP_sys 210 lowered by 10 to 200 due to potential bleeding-related hemodynamic decline after heparin in aortic dissection."",""HR"":""Rule-based HR 110 increased by 3 to 113 as a compensatory response to a small BP drop."",""O2Sat"":""Rule-based O2Sat 99 adjusted by 0 to remain 99 as oxygenation is not directly affected immediately by heparin."",""RR"":""Rule-based RR 20 increased by 2 to 22 due to mild sympathetic response to worsening hemodynamics.""}}",,,gpt-5
