engine,model,shots,strategy,setting,direction_accuracy_mean,normalized_l2_mean,normalized_l2_median,num_api_errors,num_parse_errors,num_pairs,output_dir
rule_based,rule_based,0,-,-,0.4783625730994152,3.4143206300889988,1.7404026318652206,,,57,out/transitions_reviewed_gpt_api_check/rule_based
hybrid,gpt-4o-mini,0,-,0shot,0.5,0.894427190999916,0.894427190999916,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-4o-mini/0shot
hybrid,gpt-4o-mini,3,static,3shot-static,0.5,1.788854381999832,1.788854381999832,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-4o-mini/3shot-static
hybrid,gpt-4o-mini,3,kind_hint_matched,3shot-kind_hint_matched,0.5,0.894427190999916,0.894427190999916,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-4o-mini/3shot-kind_hint_matched
hybrid,gpt-4o,0,-,0shot,0.5,0.894427190999916,0.894427190999916,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-4o/0shot
hybrid,gpt-4o,3,static,3shot-static,0.5,1.2806248474865698,1.2806248474865698,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-4o/3shot-static
hybrid,gpt-4o,3,kind_hint_matched,3shot-kind_hint_matched,1.0,0.894427190999916,0.894427190999916,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-4o/3shot-kind_hint_matched
hybrid,gpt-4.1,0,-,0shot,1.0,0.4,0.4,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-4.1/0shot
hybrid,gpt-4.1,3,static,3shot-static,1.0,0.4,0.4,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-4.1/3shot-static
hybrid,gpt-4.1,3,kind_hint_matched,3shot-kind_hint_matched,1.0,0.4,0.4,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-4.1/3shot-kind_hint_matched
hybrid,gpt-5,0,-,0shot,1.0,0.4,0.4,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-5/0shot
hybrid,gpt-5,3,static,3shot-static,1.0,0.4,0.4,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-5/3shot-static
hybrid,gpt-5,3,kind_hint_matched,3shot-kind_hint_matched,1.0,0.4,0.4,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-5/3shot-kind_hint_matched
hybrid,gpt-5.5,0,-,0shot,1.0,0.4,0.4,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-5.5/0shot
hybrid,gpt-5.5,3,static,3shot-static,1.0,0.4,0.4,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-5.5/3shot-static
hybrid,gpt-5.5,3,kind_hint_matched,3shot-kind_hint_matched,1.0,0.4,0.4,,,1,out/transitions_reviewed_gpt_api_check/hybrid/gpt-5.5/3shot-kind_hint_matched
pure_llm,gpt-4o-mini,0,-,0shot,0.5,0.894427190999916,0.894427190999916,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-4o-mini/0shot
pure_llm,gpt-4o-mini,3,static,3shot-static,0.5,0.894427190999916,0.894427190999916,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-4o-mini/3shot-static
pure_llm,gpt-4o-mini,3,kind_hint_matched,3shot-kind_hint_matched,0.5,0.8,0.8,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-4o-mini/3shot-kind_hint_matched
pure_llm,gpt-4o,0,-,0shot,0.5,0.894427190999916,0.894427190999916,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-4o/0shot
pure_llm,gpt-4o,3,static,3shot-static,0.5,1.4422205101855958,1.4422205101855958,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-4o/3shot-static
pure_llm,gpt-4o,3,kind_hint_matched,3shot-kind_hint_matched,0.5,1.4422205101855958,1.4422205101855958,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-4o/3shot-kind_hint_matched
pure_llm,gpt-4.1,0,-,0shot,0.5,0.8,0.8,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-4.1/0shot
pure_llm,gpt-4.1,3,static,3shot-static,0.5,0.8,0.8,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-4.1/3shot-static
pure_llm,gpt-4.1,3,kind_hint_matched,3shot-kind_hint_matched,1.0,0.8,0.8,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-4.1/3shot-kind_hint_matched
pure_llm,gpt-5,0,-,0shot,1.0,0.5656854249492381,0.5656854249492381,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-5/0shot
pure_llm,gpt-5,3,static,3shot-static,0.5,0.894427190999916,0.894427190999916,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-5/3shot-static
pure_llm,gpt-5,3,kind_hint_matched,3shot-kind_hint_matched,1.0,0.894427190999916,0.894427190999916,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-5/3shot-kind_hint_matched
pure_llm,gpt-5.5,0,-,0shot,0.5,0.894427190999916,0.894427190999916,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-5.5/0shot
pure_llm,gpt-5.5,3,static,3shot-static,0.5,0.8,0.8,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-5.5/3shot-static
pure_llm,gpt-5.5,3,kind_hint_matched,3shot-kind_hint_matched,0.5,0.894427190999916,0.894427190999916,0,0,1,out/transitions_reviewed_gpt_api_check/pure_llm/gpt-5.5/3shot-kind_hint_matched
