case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,llm_reasoning,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 90, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": ""O2Sat rises from 80% to 90% with high-FiO2 NRB oxygen, but remains reduced because pulmonary edema physiology without PEEP can limit oxygenation.""}","{""reasoning"":{""O2Sat"":""O2Sat rises from 80% to 90% with high-FiO2 NRB oxygen, but remains reduced because pulmonary edema physiology without PEEP can limit oxygenation.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":90,""RR"":null,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.6666666666666666,2.8142494558940574,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": true, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 118, ""O2Sat"": 84, ""RR"": 38, ""T"": 36.9}","{""HR"": ""HR rises from 110 to 118 over 5 minutes without intervention due to ongoing significant respiratory distress and hypoxemia."", ""O2Sat"": ""O2Sat falls from 88 to 84 despite NRB because pulmonary edema physiology is not corrected and distress is progressing."", ""RR"": ""RR increases from 34 to 38 with continued untreated respiratory distress and worsening oxygenation.""}","{""reasoning"":{""HR"":""HR rises from 110 to 118 over 5 minutes without intervention due to ongoing significant respiratory distress and hypoxemia."",""O2Sat"":""O2Sat falls from 88 to 84 despite NRB because pulmonary edema physiology is not corrected and distress is progressing."",""RR"":""RR increases from 34 to 38 with continued untreated respiratory distress and worsening oxygenation.""},""vitals"":{""BP_dia"":95,""BP_sys"":150,""HR"":118,""O2Sat"":84,""RR"":38,""T"":36.9}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 80, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat was 85% on NRB FiO2 0.8 and is predicted to fall to 80% after 8 minutes without escalation because severe pulmonary edema respiratory distress is not being adequately treated.""}","{""reasoning"":{""O2Sat"":""O2Sat was 85% on NRB FiO2 0.8 and is predicted to fall to 80% after 8 minutes without escalation because severe pulmonary edema respiratory distress is not being adequately treated.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":80,""RR"":null,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat was 85% on NRB FiO2 0.8 and is predicted to rise to 91% with BVM assistance at FiO2 1.0, though pulmonary edema physiology may limit full correction.""}","{""reasoning"":{""O2Sat"":""O2Sat was 85% on NRB FiO2 0.8 and is predicted to rise to 91% with BVM assistance at FiO2 1.0, though pulmonary edema physiology may limit full correction.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":120,""O2Sat"":91,""RR"":24,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.2,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 93, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat was 85% on NRB FiO2 0.8 and is predicted to rise to 93% with BVM at FiO2 1.0 plus 5 cmH2O PEEP improving oxygenation in pulmonary edema.""}","{""reasoning"":{""O2Sat"":""O2Sat was 85% on NRB FiO2 0.8 and is predicted to rise to 93% with BVM at FiO2 1.0 plus 5 cmH2O PEEP improving oxygenation in pulmonary edema.""},""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":93,""RR"":null,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.75,2.7964262908219126,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 88, ""BP_sys"": 138, ""HR"": 112, ""O2Sat"": 94, ""RR"": 24, ""T"": null}","{""BP_dia"": ""BP diastolic was 95 and is predicted to decrease to 88 due to peri-intubation sedation/positive-pressure ventilation effects but without explicit shock."", ""BP_sys"": ""BP systolic was 150 and is predicted to decrease to 138 after completed intubation from expected peri-intubation hemodynamic effects."", ""HR"": ""HR was 120 and is predicted to improve to 112 as oxygenation and work of breathing improve after successful intubation."", ""O2Sat"": ""O2Sat was 85 on NRB and is predicted to rise to 94 after completed intubation provides controlled high-FiO2 ventilation in pulmonary edema.""}","{""reasoning"":{""BP_dia"":""BP diastolic was 95 and is predicted to decrease to 88 due to peri-intubation sedation/positive-pressure ventilation effects but without explicit shock."",""BP_sys"":""BP systolic was 150 and is predicted to decrease to 138 after completed intubation from expected peri-intubation hemodynamic effects."",""HR"":""HR was 120 and is predicted to improve to 112 as oxygenation and work of breathing improve after successful intubation."",""O2Sat"":""O2Sat was 85 on NRB and is predicted to rise to 94 after completed intubation provides controlled high-FiO2 ventilation in pulmonary edema.""},""vitals"":{""BP_dia"":88,""BP_sys"":138,""HR"":112,""O2Sat"":94,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,1.4866068747318506,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 85, ""BP_sys"": 160, ""HR"": 85, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""BP_dia decreases from 100 to 85 because a negative inotrope/rate-control agent reduces cardiac contractility and sympathetic drive in this hypertensive tachycardic presentation."", ""BP_sys"": ""BP_sys decreases from 210 to 160 because negative inotropy is expected to lower the markedly elevated blood pressure, though not necessarily normalize it immediately."", ""HR"": ""HR decreases from 110 to 85 because the rate-control/negative inotrope action directly slows sinus tachycardia.""}","{""reasoning"":{""BP_dia"":""BP_dia decreases from 100 to 85 because a negative inotrope/rate-control agent reduces cardiac contractility and sympathetic drive in this hypertensive tachycardic presentation."",""BP_sys"":""BP_sys decreases from 210 to 160 because negative inotropy is expected to lower the markedly elevated blood pressure, though not necessarily normalize it immediately."",""HR"":""HR decreases from 110 to 85 because the rate-control/negative inotrope action directly slows sinus tachycardia.""},""vitals"":{""BP_dia"":85,""BP_sys"":160,""HR"":85,""O2Sat"":99,""RR"":20,""T"":36.5}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,4.448595283907045,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 85, ""BP_sys"": 170, ""HR"": 112, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""BP_dia decreases from 100 to 85 because a vasodilator should reduce the markedly elevated diastolic pressure in suspected aortic dissection."", ""BP_sys"": ""BP_sys decreases from 210 to 170 because vasodilator therapy acutely lowers severe hypertension, though without dose or agent specified it is unlikely to normalize immediately."", ""HR"": ""HR remains close to 110 at 112 because vasodilation may cause mild reflex tachycardia while the patient was already in sinus tachycardia.""}","{""reasoning"":{""BP_dia"":""BP_dia decreases from 100 to 85 because a vasodilator should reduce the markedly elevated diastolic pressure in suspected aortic dissection."",""BP_sys"":""BP_sys decreases from 210 to 170 because vasodilator therapy acutely lowers severe hypertension, though without dose or agent specified it is unlikely to normalize immediately."",""HR"":""HR remains close to 110 at 112 because vasodilation may cause mild reflex tachycardia while the patient was already in sinus tachycardia.""},""vitals"":{""BP_dia"":85,""BP_sys"":170,""HR"":112,""O2Sat"":99,""RR"":20,""T"":36.5}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,2.33238075793812,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": false, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 88, ""BP_sys"": 180, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""BP_dia decreases from 100 to 88 after sublingual nitroglycerin due to acute venodilation/vasodilation in a severely hypertensive patient."", ""BP_sys"": ""BP_sys decreases from 210 to 180 after sublingual nitroglycerin due to short-acting vasodilatory blood pressure reduction.""}","{""reasoning"":{""BP_dia"":""BP_dia decreases from 100 to 88 after sublingual nitroglycerin due to acute venodilation/vasodilation in a severely hypertensive patient."",""BP_sys"":""BP_sys decreases from 210 to 180 after sublingual nitroglycerin due to short-acting vasodilatory blood pressure reduction.""},""vitals"":{""BP_dia"":88,""BP_sys"":180,""HR"":null,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.0,32.71146587971869,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""BP diastolic was 100 and is predicted to remain 100 because heparin does not immediately lower blood pressure despite being potentially inappropriate in suspected aortic dissection."", ""BP_sys"": ""BP systolic was 210 and is predicted to remain 210 because anticoagulation has no immediate hemodynamic effect on severe hypertension."", ""HR"": ""HR was 110 and is predicted to remain 110 because heparin would not acutely change sinus tachycardia."", ""O2Sat"": ""O2Sat was 99 and is predicted to remain 99 because heparin does not directly affect oxygenation in this context."", ""RR"": ""RR was 20 and is predicted to remain 20 because anticoagulation is not expected to immediately change respiratory rate.""}","{""reasoning"":{""BP_dia"":""BP diastolic was 100 and is predicted to remain 100 because heparin does not immediately lower blood pressure despite being potentially inappropriate in suspected aortic dissection."",""BP_sys"":""BP systolic was 210 and is predicted to remain 210 because anticoagulation has no immediate hemodynamic effect on severe hypertension."",""HR"":""HR was 110 and is predicted to remain 110 because heparin would not acutely change sinus tachycardia."",""O2Sat"":""O2Sat was 99 and is predicted to remain 99 because heparin does not directly affect oxygenation in this context."",""RR"":""RR was 20 and is predicted to remain 20 because anticoagulation is not expected to immediately change respiratory rate.""},""vitals"":{""BP_dia"":100,""BP_sys"":210,""HR"":110,""O2Sat"":99,""RR"":20,""T"":null}}",,,gpt-5.5
