case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,rule_prediction_vitals,llm_adjustments,llm_reasoning,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,1.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 93, ""RR"": 32, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 32, ""T"": 36.9}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 5, ""RR"": null, ""T"": null}","{""O2Sat"": ""The rule-based prediction of 88 is plausible, but given the patient's significant respiratory distress and the application of NRB with FiO2 of 0.8, an adjustment to 85 reflects a more realistic outcome.""}","{""adjustments"": {""O2Sat"": 5}, ""reasoning"": {""O2Sat"": ""The rule-based prediction of 88 is plausible, but given the patient's significant respiratory distress and the application of NRB with FiO2 of 0.8, an adjustment to 85 reflects a more realistic outcome.""}}",,,gpt-4o-mini
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.3333333333333333,1.7804493814764857,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": false, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 115, ""O2Sat"": 82, ""RR"": 32, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 85, ""RR"": 30, ""T"": 36.9}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 5, ""O2Sat"": -3, ""RR"": 2, ""T"": null}","{""HR"": ""Rule-based value was 110; adjustment of 5 results in a final value of 115 due to increased stress from respiratory distress."", ""O2Sat"": ""Rule-based value was 85; adjustment of -3 results in a final value of 82, reflecting continued hypoxemia despite oxygen support."", ""RR"": ""Rule-based value was 30; adjustment of 2 results in a final value of 32, as respiratory distress likely worsens with time.""}","{""adjustments"": {""HR"": 5, ""O2Sat"": -3, ""RR"": 2}, ""reasoning"": {""HR"": ""Rule-based value was 110; adjustment of 5 results in a final value of 115 due to increased stress from respiratory distress."", ""O2Sat"": ""Rule-based value was 85; adjustment of -3 results in a final value of 82, reflecting continued hypoxemia despite oxygen support."", ""RR"": ""Rule-based value was 30; adjustment of 2 results in a final value of 32, as respiratory distress likely worsens with time.""}}",,,gpt-4o-mini
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,1.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 77, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 81, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": -4, ""RR"": null, ""T"": null}","{""O2Sat"": ""Rule-based value was 81, adjusted by -4 to a final value of 77 due to the patient's significant respiratory distress and the absence of effective intervention, which is likely to worsen oxygen saturation.""}","{""adjustments"":{""O2Sat"":-4},""reasoning"":{""O2Sat"":""Rule-based value was 81, adjusted by -4 to a final value of 77 due to the patient's significant respiratory distress and the absence of effective intervention, which is likely to worsen oxygen saturation.""}}",,,gpt-4o-mini
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.8,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 93, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 2, ""RR"": null, ""T"": null}","{""O2Sat"": ""The rule-based prediction was 91, adjusted by 2 to a final value of 93 due to the patient's significant respiratory distress and the use of BVM assistance, which should improve oxygen saturation.""}","{""adjustments"": {""O2Sat"": 2}, ""reasoning"": {""O2Sat"": ""The rule-based prediction was 91, adjusted by 2 to a final value of 93 due to the patient's significant respiratory distress and the use of BVM assistance, which should improve oxygen saturation.""}}",,,gpt-4o-mini
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.6,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 95, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 93, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 2, ""RR"": null, ""T"": null}","{""O2Sat"": ""The rule-based prediction of 93 is plausible given the high FiO2 and PEEP from BVM, but the patient's significant respiratory distress suggests a slight improvement to 87 is more realistic.""}","{""adjustments"": {""O2Sat"": 2}, ""reasoning"": {""O2Sat"": ""The rule-based prediction of 93 is plausible given the high FiO2 and PEEP from BVM, but the patient's significant respiratory distress suggests a slight improvement to 87 is more realistic.""}}",,,gpt-4o-mini
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.5,2.6907248094147422,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": true, ""O2Sat"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 85, ""BP_sys"": 135, ""HR"": 90, ""O2Sat"": 85, ""RR"": 12, ""T"": null}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 105, ""O2Sat"": 95, ""RR"": 12, ""T"": null}","{""BP_dia"": -10, ""BP_sys"": -15, ""HR"": -15, ""O2Sat"": -10, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based value was 95, adjusted by -10 to 85 due to ongoing respiratory distress and potential hemodynamic instability post-intubation."", ""BP_sys"": ""Rule-based value was 150, adjusted by -15 to 135 as intubation may not immediately stabilize blood pressure in this context."", ""HR"": ""Rule-based value was 105, adjusted by -15 to 90 reflecting potential vagal response or improved oxygenation post-intubation."", ""O2Sat"": ""Rule-based value was 95, adjusted by -10 to 85 as the patient was in significant respiratory distress prior to intubation.""}","{""adjustments"": {""BP_dia"": -10, ""BP_sys"": -15, ""HR"": -15, ""O2Sat"": -10}, ""reasoning"": {""BP_dia"": ""Rule-based value was 95, adjusted by -10 to 85 due to ongoing respiratory distress and potential hemodynamic instability post-intubation."", ""BP_sys"": ""Rule-based value was 150, adjusted by -15 to 135 as intubation may not immediately stabilize blood pressure in this context."", ""HR"": ""Rule-based value was 105, adjusted by -15 to 90 reflecting potential vagal response or improved oxygenation post-intubation."", ""O2Sat"": ""Rule-based value was 95, adjusted by -10 to 85 as the patient was in significant respiratory distress prior to intubation.""}}",,,gpt-4o-mini
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,4.313930922024598,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 90, ""BP_sys"": 190, ""HR"": 70, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": -10, ""BP_sys"": -20, ""HR"": -20, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based value 100, adjustment -10, final value 90; negative inotropes can lead to further hypotension in this context of aortic dissection."", ""BP_sys"": ""Rule-based value 210, adjustment -20, final value 190; the use of a negative inotrope is likely to decrease systemic blood pressure."", ""HR"": ""Rule-based value 90, adjustment -20, final value 70; negative inotropes can reduce heart rate, especially in the context of bradycardia.""}","{""adjustments"": {""BP_dia"": -10, ""BP_sys"": -20, ""HR"": -20}, ""reasoning"": {""BP_dia"": ""Rule-based value 100, adjustment -10, final value 90; negative inotropes can lead to further hypotension in this context of aortic dissection."", ""BP_sys"": ""Rule-based value 210, adjustment -20, final value 190; the use of a negative inotrope is likely to decrease systemic blood pressure."", ""HR"": ""Rule-based value 90, adjustment -20, final value 70; negative inotropes can reduce heart rate, especially in the context of bradycardia.""}}",,,gpt-4o-mini
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",1.0,4.760252094164762,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 84, ""BP_sys"": 180, ""HR"": 100, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": -8, ""BP_sys"": -15, ""HR"": -10, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based value was 92, adjusted by -8 to 84 due to expected hypotension from vasodilator use in a patient with aortic dissection."", ""BP_sys"": ""Rule-based value was 195, adjusted by -15 to 180 reflecting significant hypotension risk after vasodilator administration."", ""HR"": ""Rule-based value was 110, adjusted by -10 to 100 as bradycardia is a concern in this scenario.""}","{""adjustments"": {""BP_dia"": -8, ""BP_sys"": -15, ""HR"": -10}, ""reasoning"": {""BP_dia"": ""Rule-based value was 92, adjusted by -8 to 84 due to expected hypotension from vasodilator use in a patient with aortic dissection."", ""BP_sys"": ""Rule-based value was 195, adjusted by -15 to 180 reflecting significant hypotension risk after vasodilator administration."", ""HR"": ""Rule-based value was 110, adjusted by -10 to 100 as bradycardia is a concern in this scenario.""}}",,,gpt-4o-mini
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,2.5612496949731396,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": false, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 84, ""BP_sys"": 180, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": -8, ""BP_sys"": -15, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based value was 92, adjusted by -8 to 84 due to the hypotensive effect of nitroglycerin in a patient with bradycardia and hypotension."", ""BP_sys"": ""Rule-based value was 195, adjusted by -15 to 180 reflecting the expected decrease in systolic blood pressure from NTG administration.""}","{""adjustments"":{""BP_dia"":-8,""BP_sys"":-15},""reasoning"":{""BP_dia"":""Rule-based value was 92, adjusted by -8 to 84 due to the hypotensive effect of nitroglycerin in a patient with bradycardia and hypotension."",""BP_sys"":""Rule-based value was 195, adjusted by -15 to 180 reflecting the expected decrease in systolic blood pressure from NTG administration.""}}",,,gpt-4o-mini
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.6,30.82271889369917,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": true, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 90, ""BP_sys"": 190, ""HR"": 100, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": -10, ""BP_sys"": -20, ""HR"": -10, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based value 100, adjustment -10, final value 90; hypotension is likely due to aortic dissection and anticoagulation may worsen it."", ""BP_sys"": ""Rule-based value 210, adjustment -20, final value 190; high systolic BP may decrease due to ongoing cardiac complications."", ""HR"": ""Rule-based value 110, adjustment -10, final value 100; bradycardia is a concern in this scenario, likely due to cardiac compromise.""}","{""adjustments"": {""BP_dia"": -10, ""BP_sys"": -20, ""HR"": -10, ""O2Sat"": null, ""RR"": null}, ""reasoning"": {""BP_dia"": ""Rule-based value 100, adjustment -10, final value 90; hypotension is likely due to aortic dissection and anticoagulation may worsen it."", ""BP_sys"": ""Rule-based value 210, adjustment -20, final value 190; high systolic BP may decrease due to ongoing cardiac complications."", ""HR"": ""Rule-based value 110, adjustment -10, final value 100; bradycardia is a concern in this scenario, likely due to cardiac compromise.""}}",,,gpt-4o-mini
