case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,rule_prediction_vitals,llm_adjustments,llm_reasoning,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 86, ""RR"": 32, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 32, ""T"": 36.9}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": -2, ""RR"": null, ""T"": null}","{""O2Sat"": ""Rule-based O2Sat is 88; adjustment -2 gives final 86 because NRB oxygen should improve severe hypoxemia from pulmonary edema but without PEEP/BiPAP she may remain significantly hypoxemic.""}","{""adjustments"":{""O2Sat"":-2},""reasoning"":{""O2Sat"":""Rule-based O2Sat is 88; adjustment -2 gives final 86 because NRB oxygen should improve severe hypoxemia from pulmonary edema but without PEEP/BiPAP she may remain significantly hypoxemic.""}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.3333333333333333,2.4515301344262523,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": false, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 115, ""O2Sat"": 85, ""RR"": 36, ""T"": 36.9}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 85, ""RR"": 30, ""T"": 36.9}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 5, ""O2Sat"": 0, ""RR"": 6, ""T"": null}","{""HR"": ""Rule-based HR 110 with adjustment +5 gives final 115, reflecting ongoing untreated respiratory distress over 5 minutes."", ""O2Sat"": ""Rule-based O2Sat 85 with adjustment 0 gives final 85, which is plausible worsening despite NRB in severe pulmonary edema."", ""RR"": ""Rule-based RR 30 with adjustment +6 gives final 36, because untreated pulmonary edema on NRB should not show improved tachypnea.""}","{""adjustments"":{""HR"":5,""RR"":6,""O2Sat"":0},""reasoning"":{""HR"":""Rule-based HR 110 with adjustment +5 gives final 115, reflecting ongoing untreated respiratory distress over 5 minutes."",""RR"":""Rule-based RR 30 with adjustment +6 gives final 36, because untreated pulmonary edema on NRB should not show improved tachypnea."",""O2Sat"":""Rule-based O2Sat 85 with adjustment 0 gives final 85, which is plausible worsening despite NRB in severe pulmonary edema.""}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 80, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 81, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": -1, ""RR"": null, ""T"": null}","{""O2Sat"": ""Rule-based O2Sat is 81, adjustment -1 gives 80, because ongoing pulmonary edema with drowsiness and no move toward intubation after 8 minutes despite NRB should continue to worsen hypoxemia slightly.""}","{""adjustments"":{""O2Sat"":-1},""reasoning"":{""O2Sat"":""Rule-based O2Sat is 81, adjustment -1 gives 80, because ongoing pulmonary edema with drowsiness and no move toward intubation after 8 minutes despite NRB should continue to worsen hypoxemia slightly.""}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 89, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": -2, ""RR"": null, ""T"": null}","{""O2Sat"": ""Rule-based O2Sat is 91, adjustment -2 gives 89 because BVM with FiO2 1.0 may improve severe pulmonary-edema hypoxemia from NRB but without PEEP/BiPAP the response is likely limited.""}","{""adjustments"":{""O2Sat"":-2},""reasoning"":{""O2Sat"":""Rule-based O2Sat is 91, adjustment -2 gives 89 because BVM with FiO2 1.0 may improve severe pulmonary-edema hypoxemia from NRB but without PEEP/BiPAP the response is likely limited.""}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.2,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 93, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 93, ""RR"": 24, ""T"": null}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 0, ""RR"": null, ""T"": null}","{""O2Sat"": ""Rule-based O2Sat 93 with adjustment 0 gives final 93, which is plausible because BVM with FiO2 1.0 and PEEP 5 should improve oxygenation in pulmonary edema though not necessarily normalize it.""}","{""adjustments"":{""O2Sat"":0},""reasoning"":{""O2Sat"":""Rule-based O2Sat 93 with adjustment 0 gives final 93, which is plausible because BVM with FiO2 1.0 and PEEP 5 should improve oxygenation in pulmonary edema though not necessarily normalize it.""}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.75,2.5079872407968904,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 85, ""BP_sys"": 135, ""HR"": 105, ""O2Sat"": 95, ""RR"": 12, ""T"": null}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 105, ""O2Sat"": 95, ""RR"": 12, ""T"": null}","{""BP_dia"": -10, ""BP_sys"": -15, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based BP_dia 95 with adjustment -10 gives final 85, reflecting likely reduction in afterload/preload after positive-pressure ventilation in pulmonary edema."", ""BP_sys"": ""Rule-based BP_sys 150 with adjustment -15 gives final 135, as completed intubation/positive-pressure ventilation would plausibly lower hypertensive pulmonary-edema physiology somewhat."", ""HR"": ""Rule-based HR 105 with adjustment 0 gives final 105, which is plausible as improved oxygenation may reduce tachycardia despite intubation stress."", ""O2Sat"": ""Rule-based O2Sat 95 with adjustment 0 gives final 95, plausible after completed intubation with high oxygen support for severe hypoxemia.""}","{""adjustments"":{""BP_dia"":-10,""BP_sys"":-15,""HR"":null,""O2Sat"":null},""reasoning"":{""BP_dia"":""Rule-based BP_dia 95 with adjustment -10 gives final 85, reflecting likely reduction in afterload/preload after positive-pressure ventilation in pulmonary edema."",""BP_sys"":""Rule-based BP_sys 150 with adjustment -15 gives final 135, as completed intubation/positive-pressure ventilation would plausibly lower hypertensive pulmonary-edema physiology somewhat."",""HR"":""Rule-based HR 105 with adjustment 0 gives final 105, which is plausible as improved oxygenation may reduce tachycardia despite intubation stress."",""O2Sat"":""Rule-based O2Sat 95 with adjustment 0 gives final 95, plausible after completed intubation with high oxygen support for severe hypoxemia.""}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,3.1,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 90, ""BP_sys"": 180, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": -10, ""BP_sys"": -30, ""HR"": 0, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based BP_dia was 100, adjustment -10 gives final 90 because a negative inotrope/rate-control drug would be expected to modestly reduce diastolic pressure in severe hypertension."", ""BP_sys"": ""Rule-based BP_sys was 210, adjustment -30 gives final 180 because negative inotropy in suspected aortic dissection should reduce systolic pressure rather than leave it unchanged."", ""HR"": ""Rule-based HR was 90, adjustment 0 gives final 90 because a fall from sinus tachycardia 110 after rate-control/negative inotrope is clinically plausible.""}","{""adjustments"":{""BP_dia"":-10,""BP_sys"":-30,""HR"":0,""O2Sat"":null,""RR"":null,""T"":null},""reasoning"":{""BP_dia"":""Rule-based BP_dia was 100, adjustment -10 gives final 90 because a negative inotrope/rate-control drug would be expected to modestly reduce diastolic pressure in severe hypertension."",""BP_sys"":""Rule-based BP_sys was 210, adjustment -30 gives final 180 because negative inotropy in suspected aortic dissection should reduce systolic pressure rather than leave it unchanged."",""HR"":""Rule-based HR was 90, adjustment 0 gives final 90 because a fall from sinus tachycardia 110 after rate-control/negative inotrope is clinically plausible.""},""O2Sat"":null,""RR"":null,""T"":null}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,6.609841147864296,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based BP_dia 92 plus adjustment 0 gives final 92, a modest diastolic reduction is plausible after an unspecified vasodilator in severe hypertension/aortic dissection context."", ""BP_sys"": ""Rule-based BP_sys 195 plus adjustment 0 gives final 195, a limited immediate systolic reduction is plausible after an unspecified vasodilator without dose or agent."", ""HR"": ""Rule-based HR 110 plus adjustment 0 gives final 110, an unspecified vasodilator would not reliably cause immediate HR improvement in this context.""}","{""adjustments"":{""BP_dia"":0,""BP_sys"":0,""HR"":0},""reasoning"":{""BP_dia"":""Rule-based BP_dia 92 plus adjustment 0 gives final 92, a modest diastolic reduction is plausible after an unspecified vasodilator in severe hypertension/aortic dissection context."",""BP_sys"":""Rule-based BP_sys 195 plus adjustment 0 gives final 195, a limited immediate systolic reduction is plausible after an unspecified vasodilator without dose or agent."",""HR"":""Rule-based HR 110 plus adjustment 0 gives final 110, an unspecified vasodilator would not reliably cause immediate HR improvement in this context.""}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,0.9433981132056605,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": false, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 92, ""BP_sys"": 195, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": null, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": ""Rule-based BP_dia 92 with adjustment 0 gives final 92, a modest diastolic decrease is plausible after sublingual nitroglycerin in a severely hypertensive patient."", ""BP_sys"": ""Rule-based BP_sys 195 with adjustment 0 gives final 195, a modest systolic decrease from 210 is plausible after sublingual nitroglycerin despite ongoing suspected aortic dissection.""}","{""adjustments"":{""BP_dia"":0,""BP_sys"":0},""reasoning"":{""BP_dia"":""Rule-based BP_dia 92 with adjustment 0 gives final 92, a modest diastolic decrease is plausible after sublingual nitroglycerin in a severely hypertensive patient."",""BP_sys"":""Rule-based BP_sys 195 with adjustment 0 gives final 195, a modest systolic decrease from 210 is plausible after sublingual nitroglycerin despite ongoing suspected aortic dissection.""}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.0,32.71146587971869,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0, ""T"": null}","{""BP_dia"": ""Rule-based BP_dia 100 with adjustment 0 gives final 100, as heparin would not cause immediate diastolic BP change in this aortic dissection scenario."", ""BP_sys"": ""Rule-based BP_sys 210 with adjustment 0 gives final 210, as heparin is inappropriate for dissection risk but has no immediate hemodynamic effect from the provided information."", ""HR"": ""Rule-based HR 110 with adjustment 0 gives final 110, as heparin would not immediately alter sinus tachycardia."", ""O2Sat"": ""Rule-based O2Sat 99 with adjustment 0 gives final 99, as anticoagulation does not acutely affect oxygenation here."", ""RR"": ""Rule-based RR 20 with adjustment 0 gives final 20, as heparin has no immediate expected effect on respiratory rate.""}","{""adjustments"":{""BP_dia"":0,""BP_sys"":0,""HR"":0,""O2Sat"":0,""RR"":0},""reasoning"":{""BP_dia"":""Rule-based BP_dia 100 with adjustment 0 gives final 100, as heparin would not cause immediate diastolic BP change in this aortic dissection scenario."",""BP_sys"":""Rule-based BP_sys 210 with adjustment 0 gives final 210, as heparin is inappropriate for dissection risk but has no immediate hemodynamic effect from the provided information."",""HR"":""Rule-based HR 110 with adjustment 0 gives final 110, as heparin would not immediately alter sinus tachycardia."",""O2Sat"":""Rule-based O2Sat 99 with adjustment 0 gives final 99, as anticoagulation does not acutely affect oxygenation here."",""RR"":""Rule-based RR 20 with adjustment 0 gives final 20, as heparin has no immediate expected effect on respiratory rate.""}}",,,gpt-5.5
