case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,llm_reasoning,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 90, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": ""O2Sat was 80% before, and with NRB (FiO2 0.8) applied in severe pulmonary edema, a significant improvement is expected but not full normalization, so O2Sat is predicted to rise to 90% due to high-flow oxygen but ongoing underlying pathology.""}","{""reasoning"": {""O2Sat"": ""O2Sat was 80% before, and with NRB (FiO2 0.8) applied in severe pulmonary edema, a significant improvement is expected but not full normalization, so O2Sat is predicted to rise to 90% due to high-flow oxygen but ongoing underlying pathology.""}, ""vitals"": {""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 90, ""RR"": null, ""T"": null}}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.6666666666666666,2.8635642126552705,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": true, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 82, ""RR"": 38, ""T"": 36.9}","{""HR"": ""HR increases from 110 to 120 due to ongoing hypoxemia and respiratory distress without intervention."", ""O2Sat"": ""O2Sat decreases from 88 to 82 as pulmonary edema worsens and no additional support is provided."", ""RR"": ""RR increases from 34 to 38 as the patient compensates for worsening hypoxemia and distress.""}","{
  ""reasoning"": {
    ""HR"": ""HR increases from 110 to 120 due to ongoing hypoxemia and respiratory distress without intervention."",
    ""O2Sat"": ""O2Sat decreases from 88 to 82 as pulmonary edema worsens and no additional support is provided."",
    ""RR"": ""RR increases from 34 to 38 as the patient compensates for worsening hypoxemia and distress.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": 120,
    ""O2Sat"": 82,
    ""RR"": 38,
    ""T"": null
  }
}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,0.8,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 78, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat is predicted to fall from 85 to 78 due to ongoing severe pulmonary edema and respiratory distress without escalation of airway or ventilatory support over 8 minutes.""}","{
  ""reasoning"": {
    ""O2Sat"": ""O2Sat is predicted to fall from 85 to 78 due to ongoing severe pulmonary edema and respiratory distress without escalation of airway or ventilatory support over 8 minutes.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": null,
    ""O2Sat"": 78,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.2,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 90, ""RR"": 24, ""T"": null}","{""O2Sat"": ""Before O2Sat was 85; after BVM assistance with FiO2 1.0, O2Sat is predicted to rise to 90 due to improved oxygen delivery, but severe pulmonary edema limits full normalization.""}","{""reasoning"": {""O2Sat"": ""Before O2Sat was 85; after BVM assistance with FiO2 1.0, O2Sat is predicted to rise to 90 due to improved oxygen delivery, but severe pulmonary edema limits full normalization.""}, ""vitals"": {""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 90, ""RR"": null, ""T"": null}}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 92, ""RR"": 24, ""T"": null}","{""O2Sat"": ""Before value is 85%; with BVM at 100% FiO2 and PEEP of 5 cmH2O, O2Sat is expected to improve significantly due to increased oxygen delivery and alveolar recruitment, so I predict a rise to 92%.""}","{""reasoning"": {""O2Sat"": ""Before value is 85%; with BVM at 100% FiO2 and PEEP of 5 cmH2O, O2Sat is expected to improve significantly due to increased oxygen delivery and alveolar recruitment, so I predict a rise to 92%.""}, ""vitals"": {""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 92, ""RR"": null, ""T"": null}}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.75,4.017461885320134,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 70, ""BP_sys"": 120, ""HR"": 100, ""O2Sat"": 98, ""RR"": 24, ""T"": null}","{""BP_dia"": ""Before BP_dia was 95; after intubation, BP_dia is predicted to decrease to 70 due to improved oxygenation and possible sedation effects."", ""BP_sys"": ""Before BP_sys was 150; after intubation, BP_sys is expected to decrease to 120 as improved oxygenation and sedation reduce sympathetic drive."", ""HR"": ""Before HR was 120; after successful intubation, HR is predicted to decrease to 100 due to improved oxygenation and relief of respiratory distress."", ""O2Sat"": ""Before O2Sat was 85; after intubation, O2Sat is expected to increase to 98 as airway control and mechanical ventilation improve oxygenation.""}","{
  ""reasoning"": {
    ""HR"": ""Before HR was 120; after successful intubation, HR is predicted to decrease to 100 due to improved oxygenation and relief of respiratory distress."",
    ""BP_sys"": ""Before BP_sys was 150; after intubation, BP_sys is expected to decrease to 120 as improved oxygenation and sedation reduce sympathetic drive."",
    ""BP_dia"": ""Before BP_dia was 95; after intubation, BP_dia is predicted to decrease to 70 due to improved oxygenation and possible sedation effects."",
    ""O2Sat"": ""Before O2Sat was 85; after intubation, O2Sat is expected to increase to 98 as airway control and mechanical ventilation improve oxygenation.""
  },
  ""vitals"": {
    ""HR"": 100,
    ""BP_sys"": 120,
    ""BP_dia"": 70,
    ""O2Sat"": 98,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4.1
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,3.1,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 90, ""BP_sys"": 180, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Before BP_dia is 100; predicted BP_dia is 90, a mild decrease due to antihypertensive effect of negative inotrope."", ""BP_sys"": ""Before BP_sys is 210; predicted BP_sys is 180, a moderate decrease expected from negative inotrope use in a hypertensive patient."", ""HR"": ""Before HR is 110; predicted HR is 90, a decrease due to negative inotrope/rate control therapy lowering heart rate in sinus tachycardia.""}","{""reasoning"": {""HR"": ""Before HR is 110; predicted HR is 90, a decrease due to negative inotrope/rate control therapy lowering heart rate in sinus tachycardia."", ""BP_sys"": ""Before BP_sys is 210; predicted BP_sys is 180, a moderate decrease expected from negative inotrope use in a hypertensive patient."", ""BP_dia"": ""Before BP_dia is 100; predicted BP_dia is 90, a mild decrease due to antihypertensive effect of negative inotrope.""}, ""vitals"": {""HR"": 90, ""BP_sys"": 180, ""BP_dia"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}}",,,gpt-4.1
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,5.431390245600108,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 85, ""BP_sys"": 180, ""HR"": 115, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Before BP_dia is 100; after vasodilator, a moderate decrease is expected, so predicted BP_dia is 85 due to vasodilation."", ""BP_sys"": ""Before BP_sys is 210; after vasodilator, a significant decrease is expected, so predicted BP_sys is 180 due to antihypertensive effect."", ""HR"": ""Before HR is 110; after vasodilator, HR may remain stable or slightly increase due to reflex tachycardia, so predicted HR is 115, reflecting a mild increase as BP drops.""}","{
  ""reasoning"": {
    ""HR"": ""Before HR is 110; after vasodilator, HR may remain stable or slightly increase due to reflex tachycardia, so predicted HR is 115, reflecting a mild increase as BP drops."",
    ""BP_sys"": ""Before BP_sys is 210; after vasodilator, a significant decrease is expected, so predicted BP_sys is 180 due to antihypertensive effect."",
    ""BP_dia"": ""Before BP_dia is 100; after vasodilator, a moderate decrease is expected, so predicted BP_dia is 85 due to vasodilation.""
  },
  ""vitals"": {
    ""HR"": 115,
    ""BP_sys"": 180,
    ""BP_dia"": 85,
    ""O2Sat"": null,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4.1
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,1.8027756377319946,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": false, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 90, ""BP_sys"": 185, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Before BP_dia is 100; after nitroglycerin, I predict a decrease to 90 as diastolic pressure also falls with vasodilation, though less than systolic."", ""BP_sys"": ""Before BP_sys is 210; after sublingual nitroglycerin, I predict a decrease to 185 due to vasodilation lowering systolic pressure in a hypertensive patient.""}","{
  ""reasoning"": {
    ""BP_sys"": ""Before BP_sys is 210; after sublingual nitroglycerin, I predict a decrease to 185 due to vasodilation lowering systolic pressure in a hypertensive patient."",
    ""BP_dia"": ""Before BP_dia is 100; after nitroglycerin, I predict a decrease to 90 as diastolic pressure also falls with vasodilation, though less than systolic.""
  },
  ""vitals"": {
    ""BP_sys"": 185,
    ""BP_dia"": 90,
    ""HR"": null,
    ""O2Sat"": null,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4.1
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.2,31.92632142919068,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 95, ""BP_sys"": 200, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Before BP_dia was 100 and is predicted to decrease slightly to 95 for the same reason as systolic BP."", ""BP_sys"": ""Before BP_sys was 210 and is predicted to decrease slightly to 200 due to possible worsening of aortic dissection with anticoagulation, but not a dramatic drop immediately."", ""HR"": ""Before HR was 110 and is predicted to remain 110 as heparin does not acutely affect heart rate in this context."", ""O2Sat"": ""Before O2Sat was 99 and is predicted to remain 99 as heparin does not acutely affect oxygen saturation."", ""RR"": ""Before RR was 20 and is predicted to remain 20 as heparin does not acutely affect respiratory rate.""}","{
  ""vitals"": {
    ""HR"": 110,
    ""BP_sys"": 200,
    ""BP_dia"": 95,
    ""RR"": 20,
    ""O2Sat"": 99
  },
  ""reasoning"": {
    ""HR"": ""Before HR was 110 and is predicted to remain 110 as heparin does not acutely affect heart rate in this context."",
    ""BP_sys"": ""Before BP_sys was 210 and is predicted to decrease slightly to 200 due to possible worsening of aortic dissection with anticoagulation, but not a dramatic drop immediately."",
    ""BP_dia"": ""Before BP_dia was 100 and is predicted to decrease slightly to 95 for the same reason as systolic BP."",
    ""RR"": ""Before RR was 20 and is predicted to remain 20 as heparin does not acutely affect respiratory rate."",
    ""O2Sat"": ""Before O2Sat was 99 and is predicted to remain 99 as heparin does not acutely affect oxygen saturation.""
  }
}",,,gpt-4.1
