case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":88,""RR"":null,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.6666666666666666,2.8142494558940574,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": true, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 118, ""O2Sat"": 84, ""RR"": 38, ""T"": 36.9}","{""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":118,""O2Sat"":84,""RR"":38,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 80, ""RR"": 24, ""T"": null}","{""vitals"":{""BP_dia"":null,""BP_sys"":null,""HR"":120,""O2Sat"":80,""RR"":24,""T"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""vitals"":{""T"":null,""BP_dia"":null,""BP_sys"":null,""HR"":null,""O2Sat"":91,""RR"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.2,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 91, ""RR"": 24, ""T"": null}","{""vitals"":{""O2Sat"":91,""RR"":null,""T"":null,""BP_dia"":null,""BP_sys"":null,""HR"":null}}",,,gpt-5.5
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.75,2.7964262908219126,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": true, ""BP_sys"": false, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 88, ""BP_sys"": 138, ""HR"": 112, ""O2Sat"": 94, ""RR"": 24, ""T"": null}","{""vitals"":{""BP_dia"":88,""BP_sys"":138,""HR"":112,""O2Sat"":94,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,4.075536774462966,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 90, ""BP_sys"": 190, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""vitals"":{""BP_sys"":190,""HR"":90,""O2Sat"":99,""RR"":20,""T"":36.5,""BP_dia"":90}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",1.0,2.9154759474226504,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 80, ""BP_sys"": 160, ""HR"": 100, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""vitals"":{""BP_dia"":80,""BP_sys"":160,""HR"":100,""O2Sat"":99,""RR"":20,""T"":36.5}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,1.4142135623730951,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": false, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 90, ""BP_sys"": 190, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""vitals"":{""BP_dia"":90,""BP_sys"":190,""HR"":null,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.0,32.71146587971869,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""vitals"":{""BP_dia"":100,""BP_sys"":210,""HR"":110,""O2Sat"":99,""RR"":20,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p5,time_progression,no_action,"[""HR"", ""BP_sys"", ""BP_dia""]",1.0,0.7071067811865476,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 60, ""BP_sys"": 90, ""HR"": 50}","{""BP_dia"": 55, ""BP_sys"": 90, ""HR"": 55, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""vitals"":{""RR"":null,""T"":null,""BP_dia"":55,""BP_sys"":90,""HR"":55,""O2Sat"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p6,physiology_response,fluid_bolus,"[""BP_sys"", ""BP_dia""]",1.0,0.4123105625617661,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": true, ""BP_sys"": true}","{""BP_dia"": 60, ""BP_sys"": 90, ""HR"": 50, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""BP_dia"": 65, ""BP_sys"": 100}","{""BP_dia"": 64, ""BP_sys"": 96, ""HR"": 50, ""O2Sat"": null, ""RR"": null, ""T"": null}","{""vitals"":{""BP_dia"":64,""BP_sys"":96,""HR"":null,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p7,time_progression,no_action,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR""]",0.0,3.6249137920783716,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""RR"": false}","{""BP_dia"": 60, ""BP_sys"": 90, ""HR"": 50, ""O2Sat"": null, ""RR"": 20, ""T"": null}","{""BP_dia"": 30, ""BP_sys"": 70, ""HR"": 40, ""RR"": 12}","{""BP_dia"": 55, ""BP_sys"": 85, ""HR"": 48, ""O2Sat"": null, ""RR"": 22, ""T"": null}","{""vitals"":{""BP_dia"":55,""BP_sys"":85,""HR"":48,""O2Sat"":null,""RR"":22,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p8,physiology_response,vasopressor,"[""BP_sys"", ""BP_dia""]",1.0,0.5,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": true, ""BP_sys"": true}","{""BP_dia"": 30, ""BP_sys"": 70, ""HR"": 40, ""O2Sat"": null, ""RR"": 12, ""T"": null}","{""BP_dia"": 50, ""BP_sys"": 90}","{""BP_dia"": 45, ""BP_sys"": 90, ""HR"": 40, ""O2Sat"": null, ""RR"": 12, ""T"": null}","{""vitals"":{""BP_dia"":45,""BP_sys"":90,""HR"":null,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p9,physiology_response,transcutaneous_pacing,"[""BP_sys"", ""BP_dia""]",1.0,0.5,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": true, ""BP_sys"": true}","{""BP_dia"": 30, ""BP_sys"": 70, ""HR"": 40, ""O2Sat"": null, ""RR"": 12, ""T"": null}","{""BP_dia"": 50, ""BP_sys"": 90}","{""BP_dia"": 45, ""BP_sys"": 90, ""HR"": 40, ""O2Sat"": null, ""RR"": 12, ""T"": null}","{""vitals"":{""BP_dia"":45,""BP_sys"":90,""HR"":null,""O2Sat"":null,""RR"":null,""T"":null}}",,,gpt-5.5
