case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,llm_reasoning,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 90, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": ""O2Sat was 80% before, and with NRB (FiO2 0.8) applied, O2Sat is expected to improve significantly, likely rising to 90% due to increased oxygen delivery in acute pulmonary edema.""}","{
  ""reasoning"": {
    ""O2Sat"": ""O2Sat was 80% before, and with NRB (FiO2 0.8) applied, O2Sat is expected to improve significantly, likely rising to 90% due to increased oxygen delivery in acute pulmonary edema.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": null,
    ""O2Sat"": 90,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.3333333333333333,2.4596747752497685,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": false, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 115, ""O2Sat"": 84, ""RR"": 36, ""T"": 36.9}","{""HR"": ""Before HR was 110; after 5 minutes without intervention in ongoing respiratory distress, HR is predicted to rise to 115 due to worsening hypoxemia and stress."", ""O2Sat"": ""Before O2Sat was 88; after 5 minutes without intervention, O2Sat is predicted to fall to 84 as pulmonary edema and respiratory distress progress."", ""RR"": ""Before RR was 34; after 5 minutes without intervention, RR is predicted to increase to 36 as the patient compensates for worsening hypoxemia.""}","{
  ""reasoning"": {
    ""HR"": ""Before HR was 110; after 5 minutes without intervention in ongoing respiratory distress, HR is predicted to rise to 115 due to worsening hypoxemia and stress."",
    ""O2Sat"": ""Before O2Sat was 88; after 5 minutes without intervention, O2Sat is predicted to fall to 84 as pulmonary edema and respiratory distress progress."",
    ""RR"": ""Before RR was 34; after 5 minutes without intervention, RR is predicted to increase to 36 as the patient compensates for worsening hypoxemia.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": 115,
    ""O2Sat"": 84,
    ""RR"": 36,
    ""T"": null
  }
}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 80, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat was 85% before, and with no action over 8 minutes in a patient with severe pulmonary edema and ongoing respiratory distress, O2Sat is expected to worsen further due to progressive hypoxemia, so I predict a decrease to 80%.""}","{
  ""reasoning"": {
    ""O2Sat"": ""O2Sat was 85% before, and with no action over 8 minutes in a patient with severe pulmonary edema and ongoing respiratory distress, O2Sat is expected to worsen further due to progressive hypoxemia, so I predict a decrease to 80%.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": null,
    ""O2Sat"": 80,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.2,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 90, ""RR"": 24, ""T"": null}","{""O2Sat"": ""O2Sat was 85% before; with BVM assistance and FiO2 1.0, O2Sat is predicted to improve moderately to 90% due to increased oxygen delivery, though underlying pulmonary edema limits full normalization.""}","{""reasoning"": {""O2Sat"": ""O2Sat was 85% before; with BVM assistance and FiO2 1.0, O2Sat is predicted to improve moderately to 90% due to increased oxygen delivery, though underlying pulmonary edema limits full normalization.""}, ""vitals"": {""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 90, ""RR"": null, ""T"": null}}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 92, ""RR"": 24, ""T"": null}","{""O2Sat"": ""Before O2Sat was 85; after BVM with FiO2 1 and PEEP 5, O2Sat is predicted to rise to 92 due to improved oxygenation and alveolar recruitment in acute pulmonary edema.""}","{
  ""reasoning"": {
    ""O2Sat"": ""Before O2Sat was 85; after BVM with FiO2 1 and PEEP 5, O2Sat is predicted to rise to 92 due to improved oxygenation and alveolar recruitment in acute pulmonary edema.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": null,
    ""O2Sat"": 92,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4.1
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.5,2.5495097567963922,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 90, ""BP_sys"": 140, ""HR"": 110, ""O2Sat"": 94, ""RR"": 24, ""T"": null}","{""BP_dia"": ""Before intubation, BP_dia was 95; after intubation, BP_dia is predicted to decrease slightly to 90 for similar reasons as systolic pressure."", ""BP_sys"": ""Before intubation, BP_sys was 150; after intubation, BP_sys is predicted to decrease mildly to 140 as improved oxygenation and reduced sympathetic drive lower blood pressure."", ""HR"": ""Before intubation, HR was 120; after successful intubation, HR is predicted to decrease slightly to 110 due to improved oxygenation and reduced distress."", ""O2Sat"": ""Before intubation, O2Sat was 85; after successful intubation, O2Sat is predicted to improve to 94 due to definitive airway and mechanical ventilation.""}","{
  ""reasoning"": {
    ""HR"": ""Before intubation, HR was 120; after successful intubation, HR is predicted to decrease slightly to 110 due to improved oxygenation and reduced distress."",
    ""BP_sys"": ""Before intubation, BP_sys was 150; after intubation, BP_sys is predicted to decrease mildly to 140 as improved oxygenation and reduced sympathetic drive lower blood pressure."",
    ""BP_dia"": ""Before intubation, BP_dia was 95; after intubation, BP_dia is predicted to decrease slightly to 90 for similar reasons as systolic pressure."",
    ""O2Sat"": ""Before intubation, O2Sat was 85; after successful intubation, O2Sat is predicted to improve to 94 due to definitive airway and mechanical ventilation.""
  },
  ""vitals"": {
    ""HR"": 110,
    ""BP_sys"": 140,
    ""BP_dia"": 90,
    ""O2Sat"": 94,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4.1
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,3.1,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 90, ""BP_sys"": 180, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Before BP_dia is 100; after negative inotrope, BP_dia is predicted to decrease to 90 due to overall reduction in blood pressure from rate control."", ""BP_sys"": ""Before BP_sys is 210; after negative inotrope, BP_sys is predicted to decrease to 180 as negative inotropes lower cardiac output and blood pressure."", ""HR"": ""Before HR is 110; after negative inotrope for rate control, HR is predicted to decrease to 90 due to pharmacologic slowing of sinus tachycardia.""}","{
  ""reasoning"": {
    ""HR"": ""Before HR is 110; after negative inotrope for rate control, HR is predicted to decrease to 90 due to pharmacologic slowing of sinus tachycardia."",
    ""BP_sys"": ""Before BP_sys is 210; after negative inotrope, BP_sys is predicted to decrease to 180 as negative inotropes lower cardiac output and blood pressure."",
    ""BP_dia"": ""Before BP_dia is 100; after negative inotrope, BP_dia is predicted to decrease to 90 due to overall reduction in blood pressure from rate control.""
  },
  ""vitals"": {
    ""HR"": 90,
    ""BP_sys"": 180,
    ""BP_dia"": 90,
    ""O2Sat"": 99,
    ""RR"": 20,
    ""T"": 36.5
  }
}",,,gpt-4.1
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,4.949747468305833,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 85, ""BP_sys"": 180, ""HR"": 105, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Before: 100; After: 85; Vasodilators will also lower diastolic BP, so a decrease is predicted but not to hypotensive levels."", ""BP_sys"": ""Before: 210; After: 180; Vasodilator therapy is expected to lower the markedly elevated systolic BP in aortic dissection, so a moderate reduction is predicted."", ""HR"": ""Before: 110; After: 105; HR may decrease slightly due to reduced afterload and improved hemodynamics, but tachycardia may persist due to pain and stress.""}","{
  ""reasoning"": {
    ""BP_sys"": ""Before: 210; After: 180; Vasodilator therapy is expected to lower the markedly elevated systolic BP in aortic dissection, so a moderate reduction is predicted."",
    ""BP_dia"": ""Before: 100; After: 85; Vasodilators will also lower diastolic BP, so a decrease is predicted but not to hypotensive levels."",
    ""HR"": ""Before: 110; After: 105; HR may decrease slightly due to reduced afterload and improved hemodynamics, but tachycardia may persist due to pain and stress.""
  },
  ""vitals"": {
    ""BP_sys"": 180,
    ""BP_dia"": 85,
    ""HR"": 105,
    ""O2Sat"": 99,
    ""RR"": 20,
    ""T"": 36.5
  }
}",,,gpt-4.1
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,2.23606797749979,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": false, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 90, ""BP_sys"": 180, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""Before value is 100; predicted to decrease to 90 as nitroglycerin also reduces diastolic pressure through systemic vasodilation."", ""BP_sys"": ""Before value is 210; predicted to decrease to 180 due to nitroglycerin's vasodilatory effect, which lowers systolic blood pressure in hypertensive emergencies.""}","{
  ""reasoning"": {
    ""BP_sys"": ""Before value is 210; predicted to decrease to 180 due to nitroglycerin's vasodilatory effect, which lowers systolic blood pressure in hypertensive emergencies."",
    ""BP_dia"": ""Before value is 100; predicted to decrease to 90 as nitroglycerin also reduces diastolic pressure through systemic vasodilation.""
  },
  ""vitals"": {
    ""BP_sys"": 180,
    ""BP_dia"": 90,
    ""HR"": null,
    ""O2Sat"": null,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4.1
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.4,31.63984829293592,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 90, ""BP_sys"": 190, ""HR"": 120, ""O2Sat"": 99, ""RR"": 24, ""T"": 36.5}","{""BP_dia"": ""Before BP_dia is 100; after heparin, BP_dia may decrease to 90 due to similar reasons as systolic BP."", ""BP_sys"": ""Before BP_sys is 210; after heparin, BP_sys may decrease to 190 due to possible bleeding or extension of dissection, but not normalize."", ""HR"": ""Before HR is 110; after heparin in aortic dissection, HR may increase to 120 due to worsening dissection or bleeding risk, as anticoagulation is harmful in this context."", ""O2Sat"": ""Before O2Sat is 99; after heparin, O2Sat likely remains 99 as there is no explicit respiratory compromise described."", ""RR"": ""Before RR is 20; after heparin, RR may increase to 24 if the patient becomes more unstable or develops pain/anxiety from worsening dissection.""}","{""reasoning"": {""HR"": ""Before HR is 110; after heparin in aortic dissection, HR may increase to 120 due to worsening dissection or bleeding risk, as anticoagulation is harmful in this context."", ""BP_sys"": ""Before BP_sys is 210; after heparin, BP_sys may decrease to 190 due to possible bleeding or extension of dissection, but not normalize."", ""BP_dia"": ""Before BP_dia is 100; after heparin, BP_dia may decrease to 90 due to similar reasons as systolic BP."", ""RR"": ""Before RR is 20; after heparin, RR may increase to 24 if the patient becomes more unstable or develops pain/anxiety from worsening dissection."", ""O2Sat"": ""Before O2Sat is 99; after heparin, O2Sat likely remains 99 as there is no explicit respiratory compromise described.""}, ""vitals"": {""HR"": 120, ""BP_sys"": 190, ""BP_dia"": 90, ""RR"": 24, ""O2Sat"": 99, ""T"": null}}",,,gpt-4.1
