case_id,source_file,pair_id,pair_type,kind_hint,target_vitals,direction_accuracy,normalized_l2,num_target_vitals,num_missing_predictions,missing_predictions,direction_match,before_vitals,target_vitals_values,predicted_vitals,llm_reasoning,llm_raw_response,llm_parse_error,llm_api_error,model
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p1,physiology_response,oxygen_support,"[""O2Sat""]",1.0,1.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 80, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": 88}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 95, ""RR"": 34, ""T"": 36.9}","{""O2Sat"": ""The patient's O2Sat is predicted to improve from 80% to 95% due to the application of a non-rebreather mask (NRB) delivering FiO2 of 0.8, which provides high-concentration oxygen and is effective in addressing hypoxemia in acute respiratory distress.""}","{
  ""reasoning"": {
    ""O2Sat"": ""The patient's O2Sat is predicted to improve from 80% to 95% due to the application of a non-rebreather mask (NRB) delivering FiO2 of 0.8, which provides high-concentration oxygen and is effective in addressing hypoxemia in acute respiratory distress.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": null,
    ""O2Sat"": 95,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4o
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p2,time_progression,no_action,"[""HR"", ""RR"", ""O2Sat""]",0.3333333333333333,2.8442925306655784,3,0,"{""HR"": false, ""O2Sat"": false, ""RR"": false}","{""HR"": false, ""O2Sat"": true, ""RR"": false}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 110, ""O2Sat"": 88, ""RR"": 34, ""T"": 36.9}","{""HR"": 120, ""O2Sat"": 85, ""RR"": 24}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 115, ""O2Sat"": 85, ""RR"": 38, ""T"": 36.9}","{""HR"": ""The HR is expected to increase slightly from 110 to 115 due to ongoing respiratory distress and lack of intervention, as the patient remains hypoxemic and tachypneic."", ""O2Sat"": ""The O2Sat is expected to decrease from 88 to 85 due to the lack of intervention and worsening pulmonary edema physiology, as no additional oxygenation or ventilation support is provided."", ""RR"": ""The RR is expected to increase from 34 to 38 as the patient compensates for worsening hypoxemia and respiratory distress.""}","{
  ""reasoning"": {
    ""HR"": ""The HR is expected to increase slightly from 110 to 115 due to ongoing respiratory distress and lack of intervention, as the patient remains hypoxemic and tachypneic."",
    ""O2Sat"": ""The O2Sat is expected to decrease from 88 to 85 due to the lack of intervention and worsening pulmonary edema physiology, as no additional oxygenation or ventilation support is provided."",
    ""RR"": ""The RR is expected to increase from 34 to 38 as the patient compensates for worsening hypoxemia and respiratory distress.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": 115,
    ""O2Sat"": 85,
    ""RR"": 38,
    ""T"": null
  }
}",,,gpt-4o
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p3,time_progression,no_action,"[""O2Sat""]",1.0,0.4,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 82}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 80, ""RR"": 24, ""T"": null}","{""O2Sat"": ""The patient's O2Sat is predicted to decrease from 85 to 80 due to the lack of intervention in the context of significant respiratory distress and pulmonary edema physiology.""}","{""reasoning"": {""O2Sat"": ""The patient's O2Sat is predicted to decrease from 85 to 80 due to the lack of intervention in the context of significant respiratory distress and pulmonary edema physiology.""}, ""vitals"": {""BP_dia"": null, ""BP_sys"": null, ""HR"": null, ""O2Sat"": 80, ""RR"": null, ""T"": null}}",,,gpt-4o
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p4,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.6,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 89}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 92, ""RR"": 24, ""T"": null}","{""O2Sat"": ""The pre-action O2Sat was 85% on NRB with FiO2 0.8. Transitioning to BVM assistance with FiO2 1.0 is expected to improve oxygenation due to higher oxygen delivery and positive pressure ventilation, leading to a predicted O2Sat of 92%.""}","{
  ""reasoning"": {
    ""O2Sat"": ""The pre-action O2Sat was 85% on NRB with FiO2 0.8. Transitioning to BVM assistance with FiO2 1.0 is expected to improve oxygenation due to higher oxygen delivery and positive pressure ventilation, leading to a predicted O2Sat of 92%.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": null,
    ""O2Sat"": 92,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4o
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p5,physiology_response,oxygen_support,"[""O2Sat""]",1.0,0.0,1,0,"{""O2Sat"": false}","{""O2Sat"": true}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""O2Sat"": 92}","{""BP_dia"": null, ""BP_sys"": null, ""HR"": 120, ""O2Sat"": 92, ""RR"": 24, ""T"": null}","{""O2Sat"": ""The pre-action O2Sat was 85, and the action involves BVM with PEEP at FiO2 1 and PEEP 5 cmH2O, which is expected to improve oxygenation in pulmonary edema physiology. Predicted O2Sat is 92 due to increased oxygen delivery and alveolar recruitment.""}","{
  ""reasoning"": {
    ""O2Sat"": ""The pre-action O2Sat was 85, and the action involves BVM with PEEP at FiO2 1 and PEEP 5 cmH2O, which is expected to improve oxygenation in pulmonary edema physiology. Predicted O2Sat is 92 due to increased oxygen delivery and alveolar recruitment.""
  },
  ""vitals"": {
    ""BP_dia"": null,
    ""BP_sys"": null,
    ""HR"": null,
    ""O2Sat"": 92,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4o
acute_respiratory_distress_pulmonary_edema,transitions/Cardiology/Acute Respiratory Distress.json,p6,physiology_response,airway_management,"[""HR"", ""BP_sys"", ""BP_dia"", ""O2Sat""]",0.5,2.5573423705088842,4,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": true, ""O2Sat"": true}","{""BP_dia"": 95, ""BP_sys"": 150, ""HR"": 120, ""O2Sat"": 85, ""RR"": 24, ""T"": null}","{""BP_dia"": 85, ""BP_sys"": 155, ""HR"": 90, ""O2Sat"": 94}","{""BP_dia"": 90, ""BP_sys"": 140, ""HR"": 110, ""O2Sat"": 95, ""RR"": 24, ""T"": null}","{""BP_dia"": ""Before BP_dia was 95; post-intubation, BP_dia is predicted to decrease slightly to 90 for the same reasons as BP_sys."", ""BP_sys"": ""Before BP_sys was 150; post-intubation, BP_sys is predicted to decrease slightly to 140 due to reduced stress and improved oxygenation."", ""HR"": ""Before HR was 120; post-intubation, HR is predicted to decrease slightly to 110 due to improved oxygenation and reduced respiratory distress."", ""O2Sat"": ""Before O2Sat was 85; post-intubation, O2Sat is predicted to improve to 95 due to successful airway management and ventilation.""}","{
  ""reasoning"": {
    ""HR"": ""Before HR was 120; post-intubation, HR is predicted to decrease slightly to 110 due to improved oxygenation and reduced respiratory distress."",
    ""BP_sys"": ""Before BP_sys was 150; post-intubation, BP_sys is predicted to decrease slightly to 140 due to reduced stress and improved oxygenation."",
    ""BP_dia"": ""Before BP_dia was 95; post-intubation, BP_dia is predicted to decrease slightly to 90 for the same reasons as BP_sys."",
    ""O2Sat"": ""Before O2Sat was 85; post-intubation, O2Sat is predicted to improve to 95 due to successful airway management and ventilation.""
  },
  ""vitals"": {
    ""BP_dia"": 90,
    ""BP_sys"": 140,
    ""HR"": 110,
    ""O2Sat"": 95,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4o
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p1,physiology_response,rate_control,"[""HR"", ""BP_sys"", ""BP_dia""]",0.6666666666666666,3.1,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": false, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 96, ""BP_sys"": 150, ""HR"": 85}","{""BP_dia"": 90, ""BP_sys"": 180, ""HR"": 90, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""The diastolic blood pressure is expected to decrease slightly from 100 to 90 due to the negative inotrope reducing cardiac output and vascular resistance."", ""BP_sys"": ""The systolic blood pressure is expected to decrease from 210 to 180 as the negative inotrope reduces the force of cardiac contraction and systemic vascular resistance."", ""HR"": ""The heart rate is expected to decrease from 110 to 90 due to the rate-controlling effects of the negative inotrope.""}","{
  ""reasoning"": {
    ""BP_dia"": ""The diastolic blood pressure is expected to decrease slightly from 100 to 90 due to the negative inotrope reducing cardiac output and vascular resistance."",
    ""BP_sys"": ""The systolic blood pressure is expected to decrease from 210 to 180 as the negative inotrope reduces the force of cardiac contraction and systemic vascular resistance."",
    ""HR"": ""The heart rate is expected to decrease from 110 to 90 due to the rate-controlling effects of the negative inotrope.""
  },
  ""vitals"": {
    ""BP_dia"": 90,
    ""BP_sys"": 180,
    ""HR"": 90,
    ""O2Sat"": null,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4o
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p2,physiology_response,vasodilator,"[""HR"", ""BP_sys"", ""BP_dia""]",1.0,4.769696007084728,3,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false}","{""BP_dia"": true, ""BP_sys"": true, ""HR"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 80, ""BP_sys"": 135, ""HR"": 85}","{""BP_dia"": 85, ""BP_sys"": 180, ""HR"": 100, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""The vasodilator is expected to lower diastolic blood pressure; predicted decrease from 100 to 85 due to its antihypertensive effect."", ""BP_sys"": ""The vasodilator is expected to lower systolic blood pressure; predicted decrease from 210 to 180 due to its antihypertensive effect."", ""HR"": ""Heart rate is expected to decrease slightly from 110 to 100 as a secondary effect of reduced afterload and improved hemodynamics.""}","{
  ""reasoning"": {
    ""BP_dia"": ""The vasodilator is expected to lower diastolic blood pressure; predicted decrease from 100 to 85 due to its antihypertensive effect."",
    ""BP_sys"": ""The vasodilator is expected to lower systolic blood pressure; predicted decrease from 210 to 180 due to its antihypertensive effect."",
    ""HR"": ""Heart rate is expected to decrease slightly from 110 to 100 as a secondary effect of reduced afterload and improved hemodynamics.""
  },
  ""vitals"": {
    ""BP_dia"": 85,
    ""BP_sys"": 180,
    ""HR"": 100,
    ""O2Sat"": 99,
    ""RR"": 20,
    ""T"": 36.5
  }
}",,,gpt-4o
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p3,physiology_response,vasodilator,"[""BP_sys"", ""BP_dia""]",0.5,2.5,2,0,"{""BP_dia"": false, ""BP_sys"": false}","{""BP_dia"": false, ""BP_sys"": true}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 100, ""BP_sys"": 200}","{""BP_dia"": 85, ""BP_sys"": 180, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""The diastolic blood pressure is expected to decrease from 100 to 85 as nitroglycerin lowers systemic vascular resistance and preload."", ""BP_sys"": ""The systolic blood pressure is expected to decrease from 210 to 180 due to the vasodilatory effect of nitroglycerin, which reduces afterload and systemic vascular resistance.""}","{
  ""reasoning"": {
    ""BP_sys"": ""The systolic blood pressure is expected to decrease from 210 to 180 due to the vasodilatory effect of nitroglycerin, which reduces afterload and systemic vascular resistance."",
    ""BP_dia"": ""The diastolic blood pressure is expected to decrease from 100 to 85 as nitroglycerin lowers systemic vascular resistance and preload.""
  },
  ""vitals"": {
    ""BP_sys"": 180,
    ""BP_dia"": 85,
    ""HR"": null,
    ""O2Sat"": null,
    ""RR"": null,
    ""T"": null
  }
}",,,gpt-4o
aortic_dissection,transitions/Cardiology/Aortic Dissection.json,p4,physiology_response,anticoagulation,"[""HR"", ""BP_sys"", ""BP_dia"", ""RR"", ""O2Sat""]",0.0,32.71146587971869,5,0,"{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": false, ""BP_sys"": false, ""HR"": false, ""O2Sat"": false, ""RR"": false}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": 0, ""BP_sys"": 0, ""HR"": 0, ""O2Sat"": 0, ""RR"": 0}","{""BP_dia"": 100, ""BP_sys"": 210, ""HR"": 110, ""O2Sat"": 99, ""RR"": 20, ""T"": 36.5}","{""BP_dia"": ""No immediate change expected as anticoagulation with heparin does not directly affect diastolic blood pressure in the acute setting."", ""BP_sys"": ""No immediate change expected as anticoagulation with heparin does not directly affect systolic blood pressure in the acute setting."", ""HR"": ""No immediate change expected as heparin does not directly influence heart rate in the acute setting."", ""O2Sat"": ""No immediate change expected as heparin does not directly affect oxygen saturation."", ""RR"": ""No immediate change expected as heparin does not directly influence respiratory rate.""}","{
  ""reasoning"": {
    ""BP_dia"": ""No immediate change expected as anticoagulation with heparin does not directly affect diastolic blood pressure in the acute setting."",
    ""BP_sys"": ""No immediate change expected as anticoagulation with heparin does not directly affect systolic blood pressure in the acute setting."",
    ""HR"": ""No immediate change expected as heparin does not directly influence heart rate in the acute setting."",
    ""O2Sat"": ""No immediate change expected as heparin does not directly affect oxygen saturation."",
    ""RR"": ""No immediate change expected as heparin does not directly influence respiratory rate.""
  },
  ""vitals"": {
    ""BP_dia"": 100,
    ""BP_sys"": 210,
    ""HR"": 110,
    ""O2Sat"": 99,
    ""RR"": 20,
    ""T"": 36.5
  }
}",,,gpt-4o
